Novel_Fam	0505-0101	R1W5
NOVQJ1KT	0	5.297089
NOV7W4H2	0	5.297089
NOVHDRM1	0	2.6485445
NOV0B4R4	0	5.342075
NOVCZ7BI	0	9.368522
NOVV5XNF	0	2.6767204
NOVLK7HK	0	2.6767204
NOVU0LJW	0	2.6939156
NOVE52V8	0	5.422667
NOVA6N5M	0	2.73491
NOVQPRQP	0	2.7408686
NOVH4LSM	0	4.138351
NOVUNK89	0	2.764964
NOVCYGAP	0	2.764964
NOVJDIAN	0	2.7710545
NOVPXXR9	0	2.7771714
NOVLFR2I	0	2.8019123
NOVARZX6	0	2.8144488
NOVC1WYX	0	2.8462865
NOV8LADS	0	4.279111
NOVEQD7U	0	2.8657372
NOVGWXH2	0	2.87228
NOV6TYFD	0	2.87228
NOVVQPLL	0	5.770911
NOVDW9V3	0	2.9121728
NOVOZ19D	0	2.9189293
NOVDRZEN	0	2.946273
NOVAAO21	0	5.9063783
NOVP1J0U	0	5.920276
NOVF3HRP	0	2.9811816
NOVCHJQD	0	5.976526
NOVRWIYH	0	2.988263
NOVIDBGI	0	2.988263
NOVIJ19G	0	3.038789
NOVWC53R	0	3.0535405
NOV2MI89	0	3.068436
NOVIDF1M	0	9.227815
NOVG0WJU	0	10.79217
NOV1UGEL	0	3.0834773
NOV2NGKX	0	3.0910532
NOVSOOGT	0	4.648
NOV4ANWY	0	3.0986667
NOV4HN48	0	6.212635
NOV67D8H	0	3.1063175
NOVB9TTK	0	3.1140065
NOV09RUH	0	3.1689136
NOV4PNHV	0	6.3860846
NOVE3V5O	0	3.1930423
NOV7Q5IU	0	9.677374
NOVTL3SV	0	6.4515824
NOVKDIEB	0	3.242419
NOVE6RJ2	0	6.5184383
NOVYCZ2B	0	6.552389
NOV486ZW	0	6.5866942
NOV1BV1H	0	3.3019912
NOVBR5EY	0	4.979124
NOVJ822M	0	8.320494
NOVY42JT	0	3.3370256
NOVHXGOI	0	3.3459008
NOV21QBE	0	3.3728116
NOVMZJDY	0	3.4093728
NOVGKZCL	0	3.4186375
NOV2CLIT	0	3.4279528
NOVEK4QB	0	6.893472
NOVQ6YII	0	6.893472
NOVEGEGQ	0	6.9506006
NOV7I4EU	0	3.4753003
NOV116R7	0	3.4946074
NOVW6O1A	0	3.523974
NOVRXH7E	0	3.523974
