baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R16W0	R8W7	R16W7	R8W0	R10W7	R6W0	R6W7	R10W0	R3W0	R9W7	R3W7	R9W0	R19W7	R21W0	R21W7	R19W0	Significant	tax[rownames(res), ]	Phylum	KO
2.35099230961727	-2.24775320995586	2.95601245030706	-0.760400454241109	0.447015251858487	0.84655442959671	0	0	0	0	5	0	0	0	0	0	0	0	0	9	0	11	No	NOV211NY	NOV211NY	NOV211NY
0.689081015428076	2.83619593500931	3.0085517311221	0.942711373605498	0.345828554209845	0.84655442959671	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	No	NOVJ26MR	NOVJ26MR	NOVJ26MR
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVVWVIO	NOVVWVIO	NOVVWVIO
2.12127305429485	-2.25437138631403	2.96533976407852	-0.760240500472491	0.447110840104238	0.84655442959671	0	0	0	17	0	0	0	0	0	0	0	0	0	0	4	11	No	NOVRE7MN	NOVRE7MN	NOVRE7MN
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVQKRUY	NOVQKRUY	NOVQKRUY
3.44826125334905	0.825913776165031	2.91677483139098	0.283159936542363	0.777054238031001	0.91347849407904	4	23	0	0	0	0	0	0	0	0	0	0	16	0	0	9	No	NOVIOYSJ	NOVIOYSJ	NOVIOYSJ
2.94576400305641	1.11535673564326	2.69752067818289	0.413474767650191	0.679258805391416	0.84655442959671	0	14	0	24	16	0	0	103	0	0	0	0	0	0	2	0	No	NOVSCGZ8	NOVSCGZ8	NOVSCGZ8
7.6353246664454	-0.275636339937932	2.5236925090543	-0.109219462731306	0.913028423627365	0.966485644522279	0	21	0	0	12	0	0	16	0	0	0	0	20	23	0	15	No	NOVY4EUC	NOVY4EUC	NOVY4EUC
6.11747411068814	0.370013477761394	2.75886027090158	0.134118237760724	0.893309078286706	0.95770226217369	18	0	18	0	0	0	0	0	0	0	0	0	14	10	8	0	No	NOVYZZCQ	NOVYZZCQ	NOVYZZCQ
4.52978118341181	-0.462864880400652	2.90789734479636	-0.159175110231777	0.873530912989095	0.951213312315261	0	0	0	0	11	0	0	0	0	0	0	0	0	12	9	15	No	NOV0X2U9	NOV0X2U9	NOV0X2U9
0.874071974962609	-3.24989371553757	3.0008624045176	-1.08298658100587	0.278814379299556	0.84655442959671	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	No	NOVIMW7I	NOVIMW7I	NOVIMW7I
0.504091749761218	-2.48662289704137	3.02035287813305	-0.823288866358689	0.410343743464443	0.84655442959671	0	0	0	0	0	0	0	0	0	16	0	8	0	0	0	0	No	NOVC0NCP	NOVC0NCP	NOVC0NCP
